/Users/jinwookkim/projects/ml_model/.venv/lib/python3.13/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
Starting EfficientNet training script...

--- Model Initialization (EfficientNet) ---
Using device: mps
Creating EfficientNet model 'timm/efficientnet_b0.ra_in1k' with 101 output classes...

--- Dataset Loading (EfficientNet) ---
Checking for Food-101 dataset...
Image transformations created.
Loading Food-101 dataset using torchvision...
Food-101 dataset loaded. Using a subset of 500 samples for this demo.
Loading checkpoint from ./trained_models/efficientnet_checkpoint.pth
Resuming training from epoch 4
Model, optimizer, and criterion initialized.

--- Training Setup (EfficientNet) ---
DataLoader created with batch size 4 for 125 batches.
Initial Training Accuracy: 9.40%

--- Starting EfficientNet Training ---

Epoch [5/124], Batch [1/125] [--------------------] 0.8%, Loss: 4.0774
Epoch [5/124], Batch [2/125] [--------------------] 1.6%, Loss: 4.8847
Epoch [5/124], Batch [3/125] [--------------------] 2.4%, Loss: 3.7476
Epoch [5/124], Batch [4/125] [--------------------] 3.2%, Loss: 3.5577
Epoch [5/124], Batch [5/125] [--------------------] 4.0%, Loss: 3.8353
Epoch [5/124], Batch [6/125] [--------------------] 4.8%, Loss: 3.8329
Epoch [5/124], Batch [7/125] [#-------------------] 5.6%, Loss: 3.3363
Epoch [5/124], Batch [8/125] [#-------------------] 6.4%, Loss: 3.7309
Epoch [5/124], Batch [9/125] [#-------------------] 7.2%, Loss: 4.3789
Epoch [5/124], Batch [10/125] [#-------------------] 8.0%, Loss: 4.1694
Epoch [5/124], Batch [11/125] [#-------------------] 8.8%, Loss: 4.6074
Epoch [5/124], Batch [12/125] [#-------------------] 9.6%, Loss: 4.2409
Epoch [5/124], Batch [13/125] [##------------------] 10.4%, Loss: 3.8458
Epoch [5/124], Batch [14/125] [##------------------] 11.2%, Loss: 3.1282
Epoch [5/124], Batch [15/125] [##------------------] 12.0%, Loss: 4.9863
Epoch [5/124], Batch [41/125] [######--------------] 32.8%, Loss: 5.1495
Epoch [5/124], Batch [42/125] [######--------------] 33.6%, Loss: 4.0809
Epoch [5/124], Batch [43/125] [######--------------] 34.4%, Loss: 4.4781
Epoch [5/124], Batch [44/125] [#######-------------] 35.2%, Loss: 5.3462
Epoch [5/124], Batch [45/125] [#######-------------] 36.0%, Loss: 3.8148
Epoch [5/124], Batch [46/125] [#######-------------] 36.8%, Loss: 3.7911
Epoch [5/124], Batch [47/125] [#######-------------] 37.6%, Loss: 4.2985
Epoch [5/124], Batch [48/125] [#######-------------] 38.4%, Loss: 4.2283
Epoch [5/124], Batch [49/125] [#######-------------] 39.2%, Loss: 3.7742
Epoch [5/124], Batch [50/125] [########------------] 40.0%, Loss: 4.8979
Epoch [5/124], Batch [51/125] [########------------] 40.8%, Loss: 4.0539
Epoch [5/124], Batch [52/125] [########------------] 41.6%, Loss: 4.1539
Epoch [5/124], Batch [53/125] [########------------] 42.4%, Loss: 5.0983
Epoch [5/124], Batch [54/125] [########------------] 43.2%, Loss: 4.7847
Epoch [5/124], Batch [55/125] [########------------] 44.0%, Loss: 4.5634
Epoch [5/124], Batch [56/125] [########------------] 44.8%, Loss: 3.9305
Epoch [5/124], Batch [57/125] [#########-----------] 45.6%, Loss: 3.7798
Epoch [5/124], Batch [58/125] [#########-----------] 46.4%, Loss: 3.0867
Epoch [5/124], Batch [59/125] [#########-----------] 47.2%, Loss: 3.7746
Epoch [5/124], Batch [60/125] [#########-----------] 48.0%, Loss: 3.9582
Epoch [5/124], Batch [61/125] [#########-----------] 48.8%, Loss: 4.2067
Epoch [5/124], Batch [62/125] [#########-----------] 49.6%, Loss: 3.9647
Epoch [5/124], Batch [63/125] [##########----------] 50.4%, Loss: 3.8299
Epoch [5/124], Batch [64/125] [##########----------] 51.2%, Loss: 4.0890
Epoch [5/124], Batch [65/125] [##########----------] 52.0%, Loss: 4.0709
Epoch [5/124], Batch [66/125] [##########----------] 52.8%, Loss: 4.6807
Epoch [5/124], Batch [67/125] [##########----------] 53.6%, Loss: 4.3866
Epoch [5/124], Batch [68/125] [##########----------] 54.4%, Loss: 3.3589
Epoch [5/124], Batch [69/125] [###########---------] 55.2%, Loss: 5.2512
Epoch [5/124], Batch [70/125] [###########---------] 56.0%, Loss: 4.8248
Epoch [5/124], Batch [71/125] [###########---------] 56.8%, Loss: 4.7979
Epoch [5/124], Batch [72/125] [###########---------] 57.6%, Loss: 4.1720
Epoch [5/124], Batch [73/125] [###########---------] 58.4%, Loss: 4.8201
Epoch [5/124], Batch [74/125] [###########---------] 59.2%, Loss: 3.6813
Epoch [5/124], Batch [75/125] [############--------] 60.0%, Loss: 4.5893
Epoch [5/124], Batch [76/125] [############--------] 60.8%, Loss: 4.4188
Epoch [5/124], Batch [77/125] [############--------] 61.6%, Loss: 4.3848
Epoch [5/124], Batch [78/125] [############--------] 62.4%, Loss: 3.2599
Epoch [5/124], Batch [79/125] [############--------] 63.2%, Loss: 3.8308
Epoch [5/124], Batch [80/125] [############--------] 64.0%, Loss: 4.3378
Epoch [5/124], Batch [81/125] [############--------] 64.8%, Loss: 3.8570
Epoch [5/124], Batch [82/125] [#############-------] 65.6%, Loss: 4.5141
Epoch [5/124], Batch [83/125] [#############-------] 66.4%, Loss: 4.1048
Epoch [5/124], Batch [84/125] [#############-------] 67.2%, Loss: 4.5359
Epoch [5/124], Batch [85/125] [#############-------] 68.0%, Loss: 4.3764
Epoch [5/124], Batch [86/125] [#############-------] 68.8%, Loss: 4.5826
Epoch [5/124], Batch [87/125] [#############-------] 69.6%, Loss: 4.1406
Epoch [5/124], Batch [88/125] [##############------] 70.4%, Loss: 5.3866
Epoch [5/124], Batch [89/125] [##############------] 71.2%, Loss: 4.0779
Epoch [5/124], Batch [90/125] [##############------] 72.0%, Loss: 3.7108
Epoch [5/124], Batch [91/125] [##############------] 72.8%, Loss: 4.9068
Epoch [5/124], Batch [92/125] [##############------] 73.6%, Loss: 4.4763
Epoch [5/124], Batch [93/125] [##############------] 74.4%, Loss: 4.6050
Epoch [5/124], Batch [94/125] [###############-----] 75.2%, Loss: 4.9157
Epoch [5/124], Batch [95/125] [###############-----] 76.0%, Loss: 4.8120
Epoch [5/124], Batch [96/125] [###############-----] 76.8%, Loss: 4.0593
Epoch [5/124], Batch [97/125] [###############-----] 77.6%, Loss: 5.1975
Epoch [5/124], Batch [98/125] [###############-----] 78.4%, Loss: 4.9589
Epoch [5/124], Batch [99/125] [###############-----] 79.2%, Loss: 4.6899
Epoch [5/124], Batch [100/125] [################----] 80.0%, Loss: 4.5977
Epoch [5/124], Batch [101/125] [################----] 80.8%, Loss: 4.5703
Epoch [5/124], Batch [102/125] [################----] 81.6%, Loss: 4.5140
Epoch [5/124], Batch [103/125] [################----] 82.4%, Loss: 4.3868
Epoch [5/124], Batch [104/125] [################----] 83.2%, Loss: 4.0470
Epoch [5/124], Batch [105/125] [################----] 84.0%, Loss: 4.3232
Epoch [5/124], Batch [106/125] [################----] 84.8%, Loss: 3.6375
Epoch [5/124], Batch [107/125] [#################---] 85.6%, Loss: 3.9841
Epoch [5/124], Batch [108/125] [#################---] 86.4%, Loss: 3.5926
Epoch [5/124], Batch [109/125] [#################---] 87.2%, Loss: 4.3781
Epoch [5/124], Batch [110/125] [#################---] 88.0%, Loss: 3.1207
Epoch [5/124], Batch [111/125] [#################---] 88.8%, Loss: 4.7403
Epoch [5/124], Batch [112/125] [#################---] 89.6%, Loss: 4.4855
Epoch [5/124], Batch [113/125] [##################--] 90.4%, Loss: 4.6410
Epoch [5/124], Batch [114/125] [##################--] 91.2%, Loss: 3.8799
Epoch [5/124], Batch [115/125] [##################--] 92.0%, Loss: 3.9607
Epoch [5/124], Batch [116/125] [##################--] 92.8%, Loss: 4.4497
Epoch [5/124], Batch [117/125] [##################--] 93.6%, Loss: 3.7652
Epoch [5/124], Batch [118/125] [##################--] 94.4%, Loss: 3.3944
Epoch [5/124], Batch [119/125] [###################-] 95.2%, Loss: 2.4849
Epoch [5/124], Batch [120/125] [###################-] 96.0%, Loss: 4.1922
Epoch [5/124], Batch [121/125] [###################-] 96.8%, Loss: 4.2716
Epoch [5/124], Batch [122/125] [###################-] 97.6%, Loss: 4.8701
Epoch [5/124], Batch [123/125] [###################-] 98.4%, Loss: 4.7293
Epoch [5/124], Batch [124/125] [###################-] 99.2%, Loss: 4.7391
Epoch [5/124], Batch [125/125] [####################] 100.0%, Loss: 3.5441
Epoch [5/124] finished. Average Loss: 4.2931
Training Accuracy: 31.20%
--- Saving checkpoint for epoch 5 ---
Checkpoint saved to ./trained_models/efficientnet_checkpoint.pth

Epoch [6/124], Batch [1/125] [--------------------] 0.8%, Loss: 3.1572
Epoch [6/124], Batch [2/125] [--------------------] 1.6%, Loss: 3.3106
Epoch [6/124], Batch [3/125] [--------------------] 2.4%, Loss: 2.8933
Epoch [6/124], Batch [4/125] [--------------------] 3.2%, Loss: 3.2130
Epoch [6/124], Batch [5/125] [--------------------] 4.0%, Loss: 3.5891
Epoch [6/124], Batch [6/125] [--------------------] 4.8%, Loss: 2.6624
Epoch [6/124], Batch [7/125] [#-------------------] 5.6%, Loss: 3.5677
Epoch [6/124], Batch [8/125] [#-------------------] 6.4%, Loss: 3.1881
Epoch [6/124], Batch [9/125] [#-------------------] 7.2%, Loss: 2.5558
Epoch [6/124], Batch [10/125] [#-------------------] 8.0%, Loss: 3.8576
Epoch [6/124], Batch [11/125] [#-------------------] 8.8%, Loss: 3.1090
Epoch [6/124], Batch [12/125] [#-------------------] 9.6%, Loss: 3.5823
Epoch [6/124], Batch [13/125] [##------------------] 10.4%, Loss: 3.3812
Epoch [6/124], Batch [14/125] [##------------------] 11.2%, Loss: 3.9136
Epoch [6/124], Batch [15/125] [##------------------] 12.0%, Loss: 4.7289
Epoch [6/124], Batch [16/125] [##------------------] 12.8%, Loss: 3.4987
Epoch [6/124], Batch [17/125] [##------------------] 13.6%, Loss: 3.8136
Epoch [6/124], Batch [18/125] [##------------------] 14.4%, Loss: 2.6951
Epoch [6/124], Batch [19/125] [###-----------------] 15.2%, Loss: 4.1385
Epoch [6/124], Batch [20/125] [###-----------------] 16.0%, Loss: 2.4930
Epoch [6/124], Batch [21/125] [###-----------------] 16.8%, Loss: 1.8071
Epoch [6/124], Batch [22/125] [###-----------------] 17.6%, Loss: 2.8729
Epoch [6/124], Batch [23/125] [###-----------------] 18.4%, Loss: 2.8144
Epoch [6/124], Batch [24/125] [###-----------------] 19.2%, Loss: 2.6424
Epoch [6/124], Batch [25/125] [####----------------] 20.0%, Loss: 2.0863
Epoch [6/124], Batch [26/125] [####----------------] 20.8%, Loss: 2.2830
Epoch [6/124], Batch [27/125] [####----------------] 21.6%, Loss: 3.3990
Epoch [6/124], Batch [28/125] [####----------------] 22.4%, Loss: 2.8505
Epoch [6/124], Batch [29/125] [####----------------] 23.2%, Loss: 2.5345
Epoch [6/124], Batch [30/125] [####----------------] 24.0%, Loss: 3.3886
Epoch [6/124], Batch [31/125] [####----------------] 24.8%, Loss: 2.7276
Epoch [6/124], Batch [32/125] [#####---------------] 25.6%, Loss: 3.2448
Epoch [6/124], Batch [33/125] [#####---------------] 26.4%, Loss: 3.8203
Epoch [6/124], Batch [34/125] [#####---------------] 27.2%, Loss: 2.3892
Epoch [6/124], Batch [35/125] [#####---------------] 28.0%, Loss: 3.0837
Epoch [6/124], Batch [36/125] [#####---------------] 28.8%, Loss: 3.0526
Epoch [6/124], Batch [37/125] [#####---------------] 29.6%, Loss: 3.1575
Epoch [6/124], Batch [38/125] [######--------------] 30.4%, Loss: 3.0704
Epoch [6/124], Batch [39/125] [######--------------] 31.2%, Loss: 3.6538
Epoch [6/124], Batch [40/125] [######--------------] 32.0%, Loss: 2.9055
Epoch [6/124], Batch [41/125] [######--------------] 32.8%, Loss: 2.7409
Epoch [6/124], Batch [42/125] [######--------------] 33.6%, Loss: 3.6778
Epoch [6/124], Batch [43/125] [######--------------] 34.4%, Loss: 3.1037
Epoch [6/124], Batch [44/125] [#######-------------] 35.2%, Loss: 3.8872
Epoch [6/124], Batch [45/125] [#######-------------] 36.0%, Loss: 2.9396
Epoch [6/124], Batch [46/125] [#######-------------] 36.8%, Loss: 3.1591
Epoch [6/124], Batch [47/125] [#######-------------] 37.6%, Loss: 2.8618
Epoch [6/124], Batch [48/125] [#######-------------] 38.4%, Loss: 2.7131
Epoch [6/124], Batch [49/125] [#######-------------] 39.2%, Loss: 2.6324
Epoch [6/124], Batch [50/125] [########------------] 40.0%, Loss: 4.1329
Epoch [6/124], Batch [51/125] [########------------] 40.8%, Loss: 2.2704
Epoch [6/124], Batch [52/125] [########------------] 41.6%, Loss: 2.4978
Epoch [6/124], Batch [53/125] [########------------] 42.4%, Loss: 3.0727
Epoch [6/124], Batch [54/125] [########------------] 43.2%, Loss: 2.5903
Epoch [6/124], Batch [55/125] [########------------] 44.0%, Loss: 2.3941
Epoch [6/124], Batch [56/125] [########------------] 44.8%, Loss: 3.9055
Epoch [6/124], Batch [57/125] [#########-----------] 45.6%, Loss: 3.2477
Epoch [6/124], Batch [58/125] [#########-----------] 46.4%, Loss: 3.0237
Epoch [6/124], Batch [59/125] [#########-----------] 47.2%, Loss: 3.1246
Epoch [6/124], Batch [60/125] [#########-----------] 48.0%, Loss: 4.0127
Epoch [6/124], Batch [61/125] [#########-----------] 48.8%, Loss: 4.3380
Epoch [6/124], Batch [62/125] [#########-----------] 49.6%, Loss: 3.2139
Epoch [6/124], Batch [63/125] [##########----------] 50.4%, Loss: 2.6882
Epoch [6/124], Batch [64/125] [##########----------] 51.2%, Loss: 3.0965
Epoch [6/124], Batch [65/125] [##########----------] 52.0%, Loss: 3.1835
Epoch [6/124], Batch [66/125] [##########----------] 52.8%, Loss: 3.5043
Epoch [6/124], Batch [67/125] [##########----------] 53.6%, Loss: 2.9283
Epoch [6/124], Batch [68/125] [##########----------] 54.4%, Loss: 2.2487
Epoch [6/124], Batch [69/125] [###########---------] 55.2%, Loss: 2.7326
Epoch [6/124], Batch [70/125] [###########---------] 56.0%, Loss: 2.9817
Epoch [6/124], Batch [71/125] [###########---------] 56.8%, Loss: 2.2476
Epoch [6/124], Batch [72/125] [###########---------] 57.6%, Loss: 3.8765
Epoch [6/124], Batch [73/125] [###########---------] 58.4%, Loss: 2.6863
Epoch [6/124], Batch [74/125] [###########---------] 59.2%, Loss: 2.5867
Epoch [6/124], Batch [75/125] [############--------] 60.0%, Loss: 2.6544
Epoch [6/124], Batch [76/125] [############--------] 60.8%, Loss: 2.6390
Epoch [6/124], Batch [77/125] [############--------] 61.6%, Loss: 2.5487
Epoch [6/124], Batch [78/125] [############--------] 62.4%, Loss: 2.4216
Epoch [6/124], Batch [79/125] [############--------] 63.2%, Loss: 3.3458
Epoch [6/124], Batch [80/125] [############--------] 64.0%, Loss: 2.4546
Epoch [6/124], Batch [81/125] [############--------] 64.8%, Loss: 2.2524
Epoch [6/124], Batch [82/125] [#############-------] 65.6%, Loss: 3.1973
Epoch [6/124], Batch [83/125] [#############-------] 66.4%, Loss: 3.4175
Epoch [6/124], Batch [84/125] [#############-------] 67.2%, Loss: 2.6967
Epoch [6/124], Batch [85/125] [#############-------] 68.0%, Loss: 4.6320
Epoch [6/124], Batch [86/125] [#############-------] 68.8%, Loss: 3.5542
Epoch [6/124], Batch [87/125] [#############-------] 69.6%, Loss: 2.4206
Epoch [6/124], Batch [88/125] [##############------] 70.4%, Loss: 3.2438
Epoch [6/124], Batch [89/125] [##############------] 71.2%, Loss: 3.6987
Epoch [6/124], Batch [90/125] [##############------] 72.0%, Loss: 3.7954
Epoch [6/124], Batch [91/125] [##############------] 72.8%, Loss: 4.2052
Epoch [6/124], Batch [92/125] [##############------] 73.6%, Loss: 3.0807
Epoch [6/124], Batch [93/125] [##############------] 74.4%, Loss: 2.7402
Epoch [6/124], Batch [94/125] [###############-----] 75.2%, Loss: 4.0952
Epoch [6/124], Batch [95/125] [###############-----] 76.0%, Loss: 2.5503
Epoch [6/124], Batch [96/125] [###############-----] 76.8%, Loss: 3.1109
Epoch [6/124], Batch [97/125] [###############-----] 77.6%, Loss: 5.6984
Epoch [6/124], Batch [98/125] [###############-----] 78.4%, Loss: 0.8446
Epoch [6/124], Batch [99/125] [###############-----] 79.2%, Loss: 2.7546
Epoch [6/124], Batch [100/125] [################----] 80.0%, Loss: 3.6248
Epoch [6/124], Batch [101/125] [################----] 80.8%, Loss: 2.1010
Epoch [6/124], Batch [102/125] [################----] 81.6%, Loss: 3.9666
Epoch [6/124], Batch [103/125] [################----] 82.4%, Loss: 3.1897
Epoch [6/124], Batch [104/125] [################----] 83.2%, Loss: 1.8548
Epoch [6/124], Batch [105/125] [################----] 84.0%, Loss: 4.0484
Epoch [6/124], Batch [106/125] [################----] 84.8%, Loss: 3.5240
Epoch [6/124], Batch [107/125] [#################---] 85.6%, Loss: 3.0706
Epoch [6/124], Batch [108/125] [#################---] 86.4%, Loss: 4.7567
Epoch [6/124], Batch [109/125] [#################---] 87.2%, Loss: 2.8263
Epoch [6/124], Batch [110/125] [#################---] 88.0%, Loss: 3.5686
Epoch [6/124], Batch [111/125] [#################---] 88.8%, Loss: 4.1022
Epoch [6/124], Batch [112/125] [#################---] 89.6%, Loss: 3.1734
Epoch [6/124], Batch [113/125] [##################--] 90.4%, Loss: 2.4501
Epoch [6/124], Batch [114/125] [##################--] 91.2%, Loss: 3.8047
Epoch [6/124], Batch [115/125] [##################--] 92.0%, Loss: 2.5966
Epoch [6/124], Batch [116/125] [##################--] 92.8%, Loss: 4.0139
Epoch [6/124], Batch [117/125] [##################--] 93.6%, Loss: 3.9938
Epoch [6/124], Batch [118/125] [##################--] 94.4%, Loss: 4.2919
Epoch [6/124], Batch [119/125] [###################-] 95.2%, Loss: 3.6158
Epoch [6/124], Batch [120/125] [###################-] 96.0%, Loss: 2.9971
Epoch [6/124], Batch [121/125] [###################-] 96.8%, Loss: 4.4902
Epoch [6/124], Batch [122/125] [###################-] 97.6%, Loss: 2.5802
Epoch [6/124], Batch [123/125] [###################-] 98.4%, Loss: 4.3949
Epoch [6/124], Batch [124/125] [###################-] 99.2%, Loss: 3.8573
Epoch [6/124], Batch [125/125] [####################] 100.0%, Loss: 4.2086
Epoch [6/124] finished. Average Loss: 3.1887
Training Accuracy: 62.40%
--- Saving checkpoint for epoch 6 ---
Checkpoint saved to ./trained_models/efficientnet_checkpoint.pth

Epoch [7/124], Batch [1/125] [--------------------] 0.8%, Loss: 2.6562
Epoch [7/124], Batch [2/125] [--------------------] 1.6%, Loss: 2.1613
Epoch [7/124], Batch [3/125] [--------------------] 2.4%, Loss: 2.1800
Epoch [7/124], Batch [4/125] [--------------------] 3.2%, Loss: 1.3574
Epoch [7/124], Batch [5/125] [--------------------] 4.0%, Loss: 1.6464
Epoch [7/124], Batch [6/125] [--------------------] 4.8%, Loss: 1.4725
Epoch [7/124], Batch [7/125] [#-------------------] 5.6%, Loss: 1.4917
Epoch [7/124], Batch [8/125] [#-------------------] 6.4%, Loss: 2.6577
Epoch [7/124], Batch [9/125] [#-------------------] 7.2%, Loss: 1.8893
Epoch [7/124], Batch [10/125] [#-------------------] 8.0%, Loss: 1.6882
Epoch [7/124], Batch [11/125] [#-------------------] 8.8%, Loss: 2.1316
Epoch [7/124], Batch [12/125] [#-------------------] 9.6%, Loss: 1.6687
Epoch [7/124], Batch [13/125] [##------------------] 10.4%, Loss: 2.5499
Epoch [7/124], Batch [14/125] [##------------------] 11.2%, Loss: 2.1309
Epoch [7/124], Batch [15/125] [##------------------] 12.0%, Loss: 1.7537
Epoch [7/124], Batch [16/125] [##------------------] 12.8%, Loss: 2.1774
Epoch [7/124], Batch [17/125] [##------------------] 13.6%, Loss: 2.7113
Epoch [7/124], Batch [18/125] [##------------------] 14.4%, Loss: 1.5172
Epoch [7/124], Batch [19/125] [###-----------------] 15.2%, Loss: 1.5117
Epoch [7/124], Batch [20/125] [###-----------------] 16.0%, Loss: 0.8793
Epoch [7/124], Batch [21/125] [###-----------------] 16.8%, Loss: 3.5809
Epoch [7/124], Batch [22/125] [###-----------------] 17.6%, Loss: 1.6485
Epoch [7/124], Batch [23/125] [###-----------------] 18.4%, Loss: 2.8207
Epoch [7/124], Batch [24/125] [###-----------------] 19.2%, Loss: 2.1212
Epoch [7/124], Batch [25/125] [####----------------] 20.0%, Loss: 2.4590
Epoch [7/124], Batch [26/125] [####----------------] 20.8%, Loss: 1.9235
Epoch [7/124], Batch [27/125] [####----------------] 21.6%, Loss: 2.3437
Epoch [7/124], Batch [28/125] [####----------------] 22.4%, Loss: 1.1647
Epoch [7/124], Batch [29/125] [####----------------] 23.2%, Loss: 2.1776
Epoch [7/124], Batch [30/125] [####----------------] 24.0%, Loss: 2.4442
Epoch [7/124], Batch [31/125] [####----------------] 24.8%, Loss: 1.9910
Epoch [7/124], Batch [32/125] [#####---------------] 25.6%, Loss: 1.9448
Epoch [7/124], Batch [33/125] [#####---------------] 26.4%, Loss: 2.5342
Epoch [7/124], Batch [34/125] [#####---------------] 27.2%, Loss: 2.2224
Epoch [7/124], Batch [35/125] [#####---------------] 28.0%, Loss: 1.3399
Epoch [7/124], Batch [36/125] [#####---------------] 28.8%, Loss: 2.1040
Epoch [7/124], Batch [37/125] [#####---------------] 29.6%, Loss: 1.5751
Epoch [7/124], Batch [38/125] [######--------------] 30.4%, Loss: 3.2665
Epoch [7/124], Batch [39/125] [######--------------] 31.2%, Loss: 3.8656
Epoch [7/124], Batch [40/125] [######--------------] 32.0%, Loss: 3.0334
Epoch [7/124], Batch [41/125] [######--------------] 32.8%, Loss: 2.1994
Epoch [7/124], Batch [42/125] [######--------------] 33.6%, Loss: 3.1246
Epoch [7/124], Batch [43/125] [######--------------] 34.4%, Loss: 2.0109
Epoch [7/124], Batch [44/125] [#######-------------] 35.2%, Loss: 3.0871
Epoch [7/124], Batch [45/125] [#######-------------] 36.0%, Loss: 2.3965
Epoch [7/124], Batch [46/125] [#######-------------] 36.8%, Loss: 2.3175
Epoch [7/124], Batch [47/125] [#######-------------] 37.6%, Loss: 2.0991
Epoch [7/124], Batch [48/125] [#######-------------] 38.4%, Loss: 1.3454
Epoch [7/124], Batch [49/125] [#######-------------] 39.2%, Loss: 0.8910
Epoch [7/124], Batch [50/125] [########------------] 40.0%, Loss: 3.6135
Epoch [7/124], Batch [51/125] [########------------] 40.8%, Loss: 2.4411
Epoch [7/124], Batch [52/125] [########------------] 41.6%, Loss: 1.4151
Epoch [7/124], Batch [53/125] [########------------] 42.4%, Loss: 2.9952
Epoch [7/124], Batch [54/125] [########------------] 43.2%, Loss: 1.6754
Epoch [7/124], Batch [55/125] [########------------] 44.0%, Loss: 1.6190
Epoch [7/124], Batch [56/125] [########------------] 44.8%, Loss: 1.5153
Epoch [7/124], Batch [57/125] [#########-----------] 45.6%, Loss: 2.7659
Epoch [7/124], Batch [58/125] [#########-----------] 46.4%, Loss: 2.8860
Epoch [7/124], Batch [59/125] [#########-----------] 47.2%, Loss: 2.8340
Epoch [7/124], Batch [60/125] [#########-----------] 48.0%, Loss: 2.1764
Epoch [7/124], Batch [61/125] [#########-----------] 48.8%, Loss: 2.7317
Epoch [7/124], Batch [62/125] [#########-----------] 49.6%, Loss: 2.8212
Epoch [7/124], Batch [63/125] [##########----------] 50.4%, Loss: 2.2818
Epoch [7/124], Batch [64/125] [##########----------] 51.2%, Loss: 3.5624
Epoch [7/124], Batch [65/125] [##########----------] 52.0%, Loss: 2.4273
Epoch [7/124], Batch [66/125] [##########----------] 52.8%, Loss: 2.0839
Epoch [7/124], Batch [67/125] [##########----------] 53.6%, Loss: 3.0677
Epoch [7/124], Batch [68/125] [##########----------] 54.4%, Loss: 2.9880
Epoch [7/124], Batch [69/125] [###########---------] 55.2%, Loss: 2.6514
